Time,Packet Inter-arrival (s),Time (s),avg_OSD.height [m]
13.842527,0.004161,14,1.5
13.843517,0.00099,14,1.5
13.869051,0.025534,14,1.5
13.879254,0.010203,14,1.5
13.912461,0.033207,14,1.5
13.923252,0.010791,14,1.5
13.947809,0.024557,14,1.5
13.970131,0.022322,14,1.5
13.999542,0.029411,14,1.5
14.043959,0.044417,14,1.5
14.056982,0.013023,14,1.5
14.080247,0.023265,14,1.5
14.09596,0.015713,14,1.5
14.101159,0.005199,14,1.5
14.122185,0.021026,14,1.5
14.145006,0.022821,14,1.5
14.166197,0.021191,14,1.5
14.189278,0.023081,14,1.5
14.197881,0.008603,14,1.5
14.197944,6.30E-05,14,1.5
14.211519,0.013575,14,1.5
14.233601,0.022082,14,1.5
14.258827,0.025226,14,1.5
14.293146,0.034319,14,1.5
14.312978,0.019832,14,1.5
14.323964,0.010986,14,1.5
14.351369,0.027405,14,1.5
14.372598,0.021229,14,1.5
