Data Rate (kbps),Data Rate (kbps)2,Data Rate (kbps)3,Packet Interval (ms),Packet Interval (ms)2,Packet Interval (ms)3,Packet Length (bytes),Packet Length (bytes)2,Packet Length (bytes)3
,,,10.824,14.801,0.502,1078,1514,1514
,,,0.511,23.124,0.814,1514,1514,1514
,,,0.191,1.064,0.361,1514,1514,762
,,,0.201,0.047,20.061,1514,1514,985
,,,0.195,0.026,7.853,1514,1514,1514
,,,0.604,0.095,0.537,1514,1514,1514
,,,0.198,1.658,0.437,1514,1514,1514
,,,0.2,0.059,0.715,340,1514,1514
,,,0.197,1.136,0.425,707,1514,1107
,,,0.199,37.783,28.145,1514,1514,1514
,,,0.069,0.581,0.426,1514,383,1514
,,,3.68,0.228,0.439,1514,76,1514
,,,14.525,0.215,0.684,1514,1078,1514
,,,5.732,0.854,0.374,1514,128,637
,,,12.892,0.043,17.739,1514,1514,985
,,,0.518,0.028,11.766,212,1514,1514
,,,0.2,3.08,0.503,84,1514,1514
,,,0.198,20.401,0.543,1078,1514,1514
,,,0.197,18.885,0.732,1514,1514,1514
,,,0.56,0.061,0.454,1514,1514,1514
,,,0.197,0.119,0.418,1514,1514,433
,,,0.2,0.03,25.659,1514,1514,1066
,,,0.174,0.022,24.805,1514,1357,985
,,,5.111,0.022,50.229,1514,102,1178
,,,19.818,0.024,14.952,451,1514,985
,,,0.511,18.216,15.251,515,1514,965
,,,0.205,20.955,29.677,1514,1514,896
,,,0.2,0.398,23.431,1514,1514,985
,,,0.149,0.525,6.716,1514,76,1123
,,,0.071,0.041,30.44,1514,1514,1029
,,,0.708,0.105,24.302,1514,1514,985
,,,0.198,0.481,50.453,1363,1514,1514
,,,0.197,39.673,0.203,1514,1514,281
,,,0.067,0.846,17.663,1514,616,985
,,,13.834,0.045,27.485,1514,74,1514
,,,1.251,0.126,0.535,1514,76,1514
,,,2.149,0.212,0.482,1514,74,1514
,,,1.747,0.187,0.712,1342,102,1514
,,,0.217,36.936,0.452,723,82,1514
,,,1.559,3.013,0.655,1514,479,1514
,,,10.452,1.623,0.439,1514,1514,1514
,,,0.536,0.061,0.464,1514,1514,1514
,,,0.195,0.031,0.644,1514,1514,1514
,,,0.371,0.03,0.442,1514,1514,1514
,,,0.067,0.029,0.608,225,1514,1514
,,,0.269,12.63,0.674,91,1514,1514
,,,0.427,18.387,0.459,78,1514,1514
,,,0.077,5.92,0.637,116,699,1514
,,,6.075,3.077,0.541,1514,76,1514
,,,21.752,0.804,0.654,1514,128,1514
,,,4.511,0.039,0.531,1514,1514,1514
,,,0.479,0.347,0.714,1514,1514,1514
,,,0.073,0.038,0.47,815,1514,1514
,,,0.191,5.156,1.259,1078,1514,1514
,,,0.198,35.327,1.07,1514,1514,1514
